,review_id,business_id,useful,funny,cool,text,name,address,city,state,city||state,postal_code,latitude,longitude,stars,review_count,categories
0,fZbEYUum6WPUEhTi-2RO_Q,Xz2GP6UPMQu22EB_76nZKw,1,0,1,"Decent prices, decent selection of beer accompanied with a good decor. The dance floor is a bit cramped up but they made a good use of the space available.

Avoid Fridays at all cost. FILLED to the brim with 18-19 year old obnoxiously loud and clumsy Abbott students.

Avoid one of the bartenders as there are some that are apparently pricks and will treat you like garbage because he disagrees with you on said-and-said subject, like for instance giving a tip only if the service is appropriate. Apparently you must give a fat tip to a server (or in this case a busboy) even if the quality of the service provided was garbage. Don't believe me? Have some proof:

https://i.sli.mg/lPWxtd.png

I will not be going to this pub anymore as this is not the kind of service I desire.",Clydes,286 Chemin  Lakeshore,Pointe-Claire,QC,Pointe-ClaireQC,H9S 4K9,45.4285977,-73.8286295,2.5,3,"French, Restaurants, Nightlife, Bars, Pubs"
1,F-xqpheSfCTp6xtP3y8Iqw,Xz2GP6UPMQu22EB_76nZKw,0,0,0,"Very, very yummy fries. I ordered the cobb salad, in an effort to avoid the grease. What a nice surprise; it was fantastic. You know when you see food coming and you really, really hope it's yours...then it is. It was like that. And it tasted as good as it looked:-)",Clydes,286 Chemin  Lakeshore,Pointe-Claire,QC,Pointe-ClaireQC,H9S 4K9,45.4285977,-73.8286295,2.5,3,"French, Restaurants, Nightlife, Bars, Pubs"
2,vPl9F3qHyD2yKNOtpxx_nQ,Xz2GP6UPMQu22EB_76nZKw,1,0,0,"I'm not a big fan of Clyde's as a bar. More often than not, it's overrun with cegep kids. But as a restaurant, it's still a place I don't mind going. I'm not sure why, though. I think it's because I live close by and they make good fries. Other than that...meh. The service is crap. It takes ages to get your (overpriced) food, and for some reason the waiters seem hell-bent on taking away your plate before you're finished eating. Seriously, if I'm still picking at my fries and my friend isn't even finished her sandwich, don't  try to whisk my plate away! Just ridiculous.

Now that Ye Olde Orchard has opened up down the street, I'll probably be going to Cyde's even less. Granted, the last time I went to Y.O. Orchard it was packed and the service was abysmal, but I blame that on it being new. Right now it still seems like a better bet than Clyde's.",Clydes,286 Chemin  Lakeshore,Pointe-Claire,QC,Pointe-ClaireQC,H9S 4K9,45.4285977,-73.8286295,2.5,3,"French, Restaurants, Nightlife, Bars, Pubs"
3,yPhfJ5FX5n-TlMT0-8-ycw,hcpR0pmlmhxxkwjGZlILAw,5,3,4,"this is a solid place to grab a quick meal, coffee, or dessert in the more Anglo-centric outer communities of western Montreal. sandwiches and coffee are fairly priced and the staff are friendly. the baguette with grilled chicken and roasted red peppers was just what I needed before spending the next couple of days eating absurd amounts of poutine. plenty of seating outside.",Les Moulins la Fayette,279 Chemin du Bord-du-Lac,Pointe-Claire,QC,Pointe-ClaireQC,H9S 4L2,45.4292347281,-73.8248859282,4.5,3,"Coffee & Tea, Restaurants, Sandwiches, Bakeries, Food, Breakfast & Brunch"
4,R6lSaxMrhS9G0Dv9GsBRCQ,hcpR0pmlmhxxkwjGZlILAw,5,0,3,"Pour un lunch rien de mieux que ce cafe. 
Situé dans le joli village de pointe claire, il est possible de déjeuner et prendre le lunch. 
Bel accueil des employés et du patron. J'ai mangé la quiche aux olives et tomates avec salade d'artichauts. Très bon repas léger. Le cafe est aussi très bon. Ramener donc chez vous un bon pain de cette boulangerie.",Les Moulins la Fayette,279 Chemin du Bord-du-Lac,Pointe-Claire,QC,Pointe-ClaireQC,H9S 4L2,45.4292347281,-73.8248859282,4.5,3,"Coffee & Tea, Restaurants, Sandwiches, Bakeries, Food, Breakfast & Brunch"
5,JfpDSqBEIUdhVJb7hcj0RQ,hcpR0pmlmhxxkwjGZlILAw,0,0,0,"Great place, great pastry and breads plus espresso. Got several things to-go but had some there as well. Smells amazing and was one of the only places open early on a Saturday AM.",Les Moulins la Fayette,279 Chemin du Bord-du-Lac,Pointe-Claire,QC,Pointe-ClaireQC,H9S 4L2,45.4292347281,-73.8248859282,4.5,3,"Coffee & Tea, Restaurants, Sandwiches, Bakeries, Food, Breakfast & Brunch"
6,0Bh4eWfOH_aH8i1cIDB96g,4ZLMhp67ZeS1qMnHH4EJ1g,0,0,0,"Absolutely, the worst place to go. The food was really bad, pizza we ordered was burnt, we got fries instead of a poutine, and when we asked to get what we ordered, we got massive attitude from the Manager. They never got my order right,never got the poutine, the manager is an unfriendly tool who has the biggest F U attitude to all his clients.
I wouldn't go back to if they paid me.",Spiros Pizza,88 Avenue Ashgrove,Pointe-Claire,QC,Pointe-ClaireQC,H9R 3N4,45.4481629,-73.80346,1.5,3,"Restaurants, Pizza"
7,SsXNEFBoxS8AMoZh8z65wQ,4ZLMhp67ZeS1qMnHH4EJ1g,0,2,0,Terrible food - bad everything it's gross the only thing that was good was the cold 7up. I don't even know what mystery meat was in my chicken club sub.,Spiros Pizza,88 Avenue Ashgrove,Pointe-Claire,QC,Pointe-ClaireQC,H9R 3N4,45.4481629,-73.80346,1.5,3,"Restaurants, Pizza"
8,3QbzsS8MNfMiEMO67pQ60A,4ZLMhp67ZeS1qMnHH4EJ1g,0,0,0,"Though I had fond memories of this place from years past, a recent pizza disappointed. The crust was literally a premodern frozen crust, though the toppings were decent. Definitely not Delissio.",Spiros Pizza,88 Avenue Ashgrove,Pointe-Claire,QC,Pointe-ClaireQC,H9R 3N4,45.4481629,-73.80346,1.5,3,"Restaurants, Pizza"
9,O7--kbgXYguJGoKrjatqKQ,tpOStoyngCFJYGtyvxOPmA,1,0,0,Had the wonton soup was very good. Service is ok only 2 men serving place was pretty full during lunch,Restaurant Soupebol,961 Boul Saint-Jean,Pointe-Claire,QC,Pointe-ClaireQC,H9R 5K3,45.4684496,-73.8299316,3.5,10,"French, Vietnamese, Chinese, Restaurants, Thai"
10,VQTnGExwjrkTrA7OcAif9g,tpOStoyngCFJYGtyvxOPmA,0,0,0,Solid soup! Delicious wontons. I really enjoy the spicier version.  Makes for a good recovery meal after a weekend of fun.  Take out is a quick and preferred option.,Restaurant Soupebol,961 Boul Saint-Jean,Pointe-Claire,QC,Pointe-ClaireQC,H9R 5K3,45.4684496,-73.8299316,3.5,10,"French, Vietnamese, Chinese, Restaurants, Thai"
11,2jZrLwW67fEayRPJdi_ZaA,tpOStoyngCFJYGtyvxOPmA,0,0,0,"Not everything on the menu is great. I always love the pad Thai because I end up with enough for an extra meal to take home. 
The service is fast if you don't come at peak hours and very friendly.",Restaurant Soupebol,961 Boul Saint-Jean,Pointe-Claire,QC,Pointe-ClaireQC,H9R 5K3,45.4684496,-73.8299316,3.5,10,"French, Vietnamese, Chinese, Restaurants, Thai"
12,xUgOcqJINv3yabyjevXCEw,tpOStoyngCFJYGtyvxOPmA,0,0,0,"Disappointing tonkinese soup:   3 slices of overcooked beef, sprinkles of green leaves, 3-4 forksful of noodles and a bowlful of broth made out of powdered beef stock.  After eating the noodles, there was still a full bowl of broth left and was still hungry.   The tonkinese soup didn't in the least look and taste the said famous soup. 

 After reporting my disappointment, I was offered a free of charge tonkinese soup but still it didn't meet my expectations.  There were more noodles but the both was lukewarm.  I think they took back my broth n just added the noodles n a few slices of beef n gave me back.  In the end I did not eat the soup they brought me.

No stars for this place.",Restaurant Soupebol,961 Boul Saint-Jean,Pointe-Claire,QC,Pointe-ClaireQC,H9R 5K3,45.4684496,-73.8299316,3.5,10,"French, Vietnamese, Chinese, Restaurants, Thai"
13,PdRl3KHqi6CkblCqe6VgYg,tpOStoyngCFJYGtyvxOPmA,0,0,0,"This little gem has the best wonton soup. It is loaded with vegetables and is a meal in itself!
Prices are good and they also deliver.",Restaurant Soupebol,961 Boul Saint-Jean,Pointe-Claire,QC,Pointe-ClaireQC,H9R 5K3,45.4684496,-73.8299316,3.5,10,"French, Vietnamese, Chinese, Restaurants, Thai"
14,efOIantmrXSDgC-q6Ckc8Q,tpOStoyngCFJYGtyvxOPmA,0,0,0,"Resto à lunch tout à fait correct si vous avez envie de standards asiatiques comme la soupe-repas Tom Yam ou un pad thaï.

Le problème est qu'à chaque fois que je mange là je me demand pourquoi ça goûte rien. Très édulcoré comme goût. En fait, la Tom Yam du Thaï Express dans n'importe quel food court de centre d'achats est plus goûteuse. Cherchez l'erreur.",Restaurant Soupebol,961 Boul Saint-Jean,Pointe-Claire,QC,Pointe-ClaireQC,H9R 5K3,45.4684496,-73.8299316,3.5,10,"French, Vietnamese, Chinese, Restaurants, Thai"
